,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
34,P 201,Zombie Capitalism,3.00,94263,WF09:35AM - 10:50AM,01/13/14 - 04/28/14,"Orenstein, D",10,OPEN,AMST
35,FNGR 208,Representing Black Men,3.00,96783,TR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Warren, C",11,OPEN,AMST
36,,BlackCultrInTheNation'sCapital,3.00,96784,,01/13/14 - 04/28/14,,12,CANCELLED,AMST
37,,Museums&PoliticsofRepresentat;,3.00,96785,,01/13/14 - 04/28/14,,13,CANCELLED,AMST
38,1957 E 113,Modern Amer Cultural History,3.00,93333,TR09:35AM - 10:25AM,01/13/14 - 04/28/14,"Kosek, J",80,OPEN,AMST
39,1957 E 113,Modern Amer Cultural History,3.00,93382,TR09:35AM - 10:25AM,01/13/14 - 04/28/14,"Kosek, J",80,OPEN,HIST
40,COR 111,Discussion,0.00,93334,R11:10AM - 12:00PM,01/13/14 - 04/28/14,"Kosek, J",81,CLOSED,AMST
41,2020 K 26,Discussion,0.00,93335,R11:10AM - 12:00PM,01/13/14 - 04/28/14,"Kosek, J",82,OPEN,AMST
42,FNGR 209,Discussion,0.00,93336,R12:45PM - 01:35PM,01/13/14 - 04/28/14,"Kosek, J",83,OPEN,AMST
43,GOV 104,Discussion,0.00,93337,R12:45PM - 01:35PM,01/13/14 - 04/28/14,"Kosek, J",84,OPEN,AMST
44,BELL 108,Discussion,0.00,94264,R02:20PM - 03:10PM,01/13/14 - 04/28/14,"Kosek, J",85,OPEN,AMST
45,COR 111,Discussion,0.00,94268,R02:20PM - 03:10PM,01/13/14 - 04/28/14,"Kosek, J",86,OPEN,AMST
46,FNGR 220,Discussion,0.00,94941,R03:55PM - 04:45PM,01/13/14 - 04/28/14,"Kosek, J",87,OPEN,AMST
47,FNGR 221,Discussion,0.00,94942,R03:55PM - 04:45PM,01/13/14 - 04/28/14,"Kosek, J",88,OPEN,AMST
48,ROME B104,"Wash DC:Hist,Culture,Politics",3.00,97546,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Klemek, C",80,OPEN,AMST
49,ROME B104,"Wash DC: Hist,Culture,Politics",3.00,95710,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Klemek, C",80,OPEN,HIST
50,MON B32,Varieties of Feminist Theory,3.00,94271,MW02:20PM - 03:35PM,01/13/14 - 04/28/14,"Deitch, C",80,OPEN,AMST
51,MON B32,Varieties of Feminist Theory,3.00,91085,MW02:20PM - 03:35PM,01/13/14 - 04/28/14,"Deitch, C",80,OPEN,WSTU
52,MPA 309,US Media & Cultural History,3.00,96826,TR02:20PM - 03:10PM,01/13/14 - 04/28/14,"Kenna, L",80,OPEN,AMST
53,MPA 309,US Media & Cultural History,3.00,96831,TR02:20PM - 03:10PM,01/13/14 - 04/28/14,"Kenna, L",80,OPEN,HIST
54,1957 E 308,Discussion,0.00,96827,M12:45PM - 01:35PM,01/13/14 - 04/28/14,"Kenna, L",81,OPEN,AMST
55,1957 E 309,Discussion,0.00,96829,M02:20PM - 03:10PM,01/13/14 - 04/28/14,"Kenna, L",82,OPEN,AMST
56,MON 115,Discussion,0.00,97411,M02:20PM - 03:10PM,01/13/14 - 04/28/14,"Kenna, L",83,OPEN,AMST
57,MON B36,Discussion,0.00,97413,M03:55PM - 04:45PM,01/13/14 - 04/28/14,"Kenna, L",84,OPEN,AMST
58,MPA 310,20th-Century U.S. Immigration,3.00,96920,TR02:20PM - 03:10PM,01/13/14 - 04/28/14,"Guglielmo, T",80,OPEN,AMST
59,MPA 310,20th-Century U.S. Immigration,3.00,96967,TR02:20PM - 03:10PM,01/13/14 - 04/28/14,"Guglielmo, T",80,OPEN,HIST
60,FNGR 220,Discussion,0.00,96921,W09:35AM - 10:25AM,01/13/14 - 04/28/14,"Guglielmo, T",81,OPEN,AMST
61,FNGR 221,Discussion,0.00,96922,W11:10AM - 12:00PM,01/13/14 - 04/28/14,"Guglielmo, T",82,OPEN,AMST
62,FNGR 222,Discussion,0.00,96923,W11:10AM - 12:00PM,01/13/14 - 04/28/14,"Guglielmo, T",83,OPEN,AMST
63,2020 K 15,Discussion,0.00,96924,W12:45PM - 01:35PM,01/13/14 - 04/28/14,"Guglielmo, T",84,OPEN,AMST
64,GOV 102,Disability in American History,3.00,95200,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Brian, K",80,OPEN,AMST
65,GOV 102,Disability in American History,3.00,96972,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Brian, K",80,OPEN,HIST
66,COR 106,Discussion,0.00,95203,W11:10AM - 12:00PM,01/13/14 - 04/28/14,"Brian, K",81,OPEN,AMST
67,2020 K 26,Discussion,0.00,95204,W12:45PM - 01:35PM,01/13/14 - 04/28/14,"Brian, K",82,OPEN,AMST
68,OM 305,The African American Exprience,3.00,94273,TR12:45PM - 01:35PM,01/13/14 - 04/28/14,"Warren, C",10,CLOSED,AMST
69,2020 K 27,Discussion,0.00,94275,T02:20PM - 03:10PM,01/13/14 - 04/28/14,"Warren, C",30,CLOSED,AMST
70,OM 208A,Discussion,0.00,94274,T03:55PM - 04:45PM,01/13/14 - 04/28/14,"Warren, C",31,CLOSED,AMST
71,PHIL B152,Discovering the Mind,3.00,96925,TR11:10AM - 12:00PM,01/13/14 - 04/28/14,"Cohen-Cole, J",11,OPEN,AMST
72,FNGR 209,Discussion,0.00,96926,T12:45PM - 01:35PM,01/13/14 - 04/28/14,"Cohen-Cole, J",32,CLOSED,AMST
73,,Discussion,0.00,96927,,01/13/14 - 04/28/14,,33,CANCELLED,AMST
74,FNGR 220,Discussion,0.00,96928,W11:10AM - 12:00PM,01/13/14 - 04/28/14,"Cohen-Cole, J",34,OPEN,AMST
75,,Discussion,0.00,96929,,01/13/14 - 04/28/14,,35,CANCELLED,AMST
76,SMTH 114,Amer Architecture:1860-Present,3.00,94281,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"Longstreth, R",80,OPEN,AMST
77,SMTH 114,AmericanArch:1860 to Present,3.00,94282,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"Longstreth, R",80,OPEN,"AH
	"
78,PHIL 109,Women in the United States,3.00,93338,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Harrison, C",80,OPEN,AMST
79,PHIL 109,Women in US from 1877-Present,3.00,93383,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Harrison, C",80,OPEN,HIST
80,PHIL 109,"Women in the US, 1877-Present",3.00,93272,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Harrison, C",80,OPEN,WSTU
81,OM 305,Critiquing Culture,3.00,94290,MW03:45PM - 05:00PM,01/13/14 - 04/28/14,"Brian, K",10,OPEN,AMST
82,OM 305,Examining America,3.00,94289,MW11:10AM - 12:25PM,01/13/14 - 04/28/14,"Osman, S",10,OPEN,AMST
83,OM 305,American Fictions,3.00,96930,R03:30PM - 06:00PM,01/13/14 - 04/28/14,"Miller, J",10,OPEN,AMST
84,P 201,Drug Use in America After 1945,3.00,96932,TR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Dufton, E",11,CLOSED,AMST
85,SMTH 114,AmerArt intheEraof Natl Expnsn,3.00,95492,TR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Bjelajac, D",80,OPEN,AMST
86,SMTH 114,AmerArt intheEraof Natl Expnsn,3.00,96885,TR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Bjelajac, D",80,OPEN,"AH
	"
87,2020 K 11,TheGhetto:History of a Concept,3.00,97027,T11:10AM - 01:00PM,01/13/14 - 04/28/14,"Schwartz, D",81,OPEN,AMST
88,2020 K 11,TheGhetto:History of a Concept,3.00,95240,T11:10AM - 01:00PM,01/13/14 - 04/28/14,"Schwartz, D",81,OPEN,HIST
89,ROSS 227,Human Embryology,3.00,92853,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Johnson, K",10,OPEN,ANAT
90,ROSS 227,Human Microscopic Anatomy,3.00,93576,TR09:45AM - 11:00AM,01/13/14 - 04/28/14,"Krum, J",50,OPEN,ANAT
91,ROSS 227,Human Functional Neuroanatomy,3.00,92852,TR11:15AM - 12:30PM,01/13/14 - 04/28/14,"Bohn, R",10,OPEN,ANAT
92,ROSS 227ANDROSS 227,Human Gross Anatomy,3.00,91705,TR02:20PM - 03:35PMANDR03:40PM - 05:00PM,01/13/14 - 04/28/14,"Walsh, R; Brown, K",80,OPEN,ANAT
93,ROSS 227ANDROSS 227,Human Gross Anatomy,3.00,94932,TR02:20PM - 03:35PMANDR03:40PM - 05:00PM,01/13/14 - 04/28/14,"Brown, K; Walsh, R",80,OPEN,BISC
94,,Spec Topics-Stem Cell Biology,1.00 TO   3.00,91913,,01/13/14 - 04/28/14,"Moody, S",10,OPEN,ANAT
95,FNGR 108,Biological Anthropology,4.00,91618,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"Bobe, R",10,OPEN,ANTH
96,2020 K 16,Laboratory,0.00,91619,W06:10PM - 08:00PM,01/13/14 - 04/28/14,"Bobe, R",30,CLOSED,ANTH
97,2020 K 16,Laboratory,0.00,91620,W08:10PM - 10:00PM,01/13/14 - 04/28/14,"Bobe, R",31,CLOSED,ANTH
98,2020 K 16,Laboratory,0.00,91621,R08:00AM - 09:50AM,01/13/14 - 04/28/14,"Bobe, R; Renner, E",32,CLOSED,ANTH
99,2020 K 16,Laboratory,0.00,91622,R10:00AM - 11:50AM,01/13/14 - 04/28/14,"Kimock, C; Bobe, R",33,CLOSED,ANTH
100,2020 K 16,Laboratory,0.00,91693,R12:00PM - 01:50PM,01/13/14 - 04/28/14,"Kimock, C; Bobe, R",34,OPEN,ANTH
101,2020 K 16,Laboratory,0.00,91735,R02:00PM - 03:50PM,01/13/14 - 04/28/14,"Schilder, B; Bobe, R",35,CLOSED,ANTH
102,2020 K 16,Laboratory,0.00,91736,R04:10PM - 06:00PM,01/13/14 - 04/28/14,"Bobe, R; Schilder, B",36,CLOSED,ANTH
103,2020 K 16,Laboratory,0.00,91827,R06:10PM - 08:00PM,01/13/14 - 04/28/14,"Bobe, R; Dumouchel, L",37,CLOSED,ANTH
104,2020 K 16,Laboratory,0.00,93180,R08:10PM - 10:00PM,01/13/14 - 04/28/14,"Bobe, R; Dumouchel, L",38,CLOSED,ANTH
105,2020 K 16,Laboratory,0.00,93181,F08:00AM - 09:50AM,01/13/14 - 04/28/14,"Bobe, R",39,CLOSED,ANTH
106,2020 K 16,Laboratory,0.00,93654,F10:00AM - 11:50AM,01/13/14 - 04/28/14,"Killough, M; Bobe, R",40,CLOSED,ANTH
107,2020 K 16,Laboratory,0.00,93670,F12:00PM - 01:50PM,01/13/14 - 04/28/14,"Killough, M; Bobe, R",41,CLOSED,ANTH
108,1957 E 113,Sociocultural Anthropology,3.00,90035,WF12:45PM - 01:35PM,01/13/14 - 04/28/14,"Grinker, R",10,OPEN,ANTH
109,OM 305,Discussion,0.00,90036,W02:20PM - 03:10PM,01/13/14 - 04/28/14,"Chandras, J; Grinker, R",30,OPEN,ANTH
110,DUQUES 361,Discussion,0.00,90600,W03:55PM - 04:45PM,01/13/14 - 04/28/14,"Ahmann, C; Grinker, R",31,CLOSED,ANTH
111,DUQUES 360,Discussion,0.00,90037,W05:00PM - 05:50PM,01/13/14 - 04/28/14,"Grinker, R; Chandras, J",32,CLOSED,ANTH
112,DUQUES 259,Discussion,0.00,91616,R09:35AM - 10:25AM,01/13/14 - 04/28/14,"Grinker, R; Ahmann, C",33,CLOSED,ANTH
113,OM 305,Discussion,0.00,92786,R09:35AM - 10:25AM,01/13/14 - 04/28/14,"Chandras, J; Grinker, R",34,CLOSED,ANTH
114,1776 G 107,Discussion,0.00,93155,R11:10AM - 12:00PM,01/13/14 - 04/28/14,"Grinker, R; Aydemir Kundakci, G",35,CLOSED,ANTH
115,OM 305,Discussion,0.00,94167,R02:20PM - 03:10PM,01/13/14 - 04/28/14,"Aydemir Kundakci, G; Grinker, R",36,OPEN,ANTH
116,DUQUES 250,Discussion,0.00,94168,R03:55PM - 04:45PM,01/13/14 - 04/28/14,"Aydemir Kundakci, G; Grinker, R",37,OPEN,ANTH
117,GELM B02,Discussion,0.00,97757,F09:35AM - 10:25AM,01/13/14 - 04/28/14,"Grinker, R",38,CLOSED,ANTH
118,PHIL 109,Sociocultural Anthropology,3.00,98267,MW03:45PM - 05:00PM,01/13/14 - 04/28/14,"Wagner, S",11,CLOSED,ANTH
119,1957 E B12,Archaeology,3.00,90038,WF09:35AM - 10:50AM,01/13/14 - 04/28/14,"Johnston, S",10,OPEN,ANTH
120,DUQUES 362,Discussion,0.00,94398,M09:35AM - 10:25AM,01/13/14 - 04/28/14,"Johnston, S; Bradley, S",30,OPEN,ANTH
121,OM 312,Discussion,0.00,94399,T03:55PM - 04:45PM,01/13/14 - 04/28/14,"Bradley, S; Johnston, S",31,OPEN,ANTH
122,SMTH 115,Discussion,0.00,94538,T05:00PM - 05:50PM,01/13/14 - 04/28/14,"Bradley, S; Johnston, S",32,OPEN,ANTH
123,DUQUES 361,Discussion,0.00,94400,F11:10AM - 12:00PM,01/13/14 - 04/28/14,"Johnston, S; Shore, D",33,OPEN,ANTH
124,DUQUES 360,Discussion,0.00,94401,F12:45PM - 01:35PM,01/13/14 - 04/28/14,"Johnston, S; Shore, D",34,OPEN,ANTH
125,FNGR 103,Language in Culture & Society,3.00,90039,TR09:35AM - 10:25AM,01/13/14 - 04/28/14,"Dent, A",10,OPEN,ANTH
126,DUQUES 362,Discussion,0.00,90040,R08:00AM - 08:50AM,01/13/14 - 04/28/14,"Dent, A; Richardson, S",30,OPEN,ANTH
127,DUQUES 250,Discussion,0.00,90840,R02:20PM - 03:10PM,01/13/14 - 04/28/14,"Proctor, D; Dent, A",31,OPEN,ANTH
128,OM 312,Discussion,0.00,91475,R03:55PM - 04:45PM,01/13/14 - 04/28/14,"Richardson, S; Dent, A",32,OPEN,ANTH
129,MON 114,Discussion,0.00,90041,R03:55PM - 04:45PM,01/13/14 - 04/28/14,"Dent, A; Proctor, D",33,OPEN,ANTH
130,GOV 101,Discussion,0.00,91694,R05:00PM - 05:50PM,01/13/14 - 04/28/14,"Dent, A; Proctor, D",34,OPEN,ANTH
131,OM 312,Discussion,0.00,91822,R05:00PM - 05:50PM,01/13/14 - 04/28/14,"Richardson, S; Dent, A",35,OPEN,ANTH
132,COR 106,Anth ofGender:Cross Cult Persp,3.00,91476,MW09:35AM - 10:50AM,01/13/14 - 04/28/14,"Ahmad, A",80,CLOSED,ANTH
133,COR 106,Anth ofGender:Cross Cult Persp,3.00,91479,MW09:35AM - 10:50AM,01/13/14 - 04/28/14,"Ahmad, A",80,CLOSED,WSTU
134,PHIL B120,Intro to Ethnomusicology,3.00,94402,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Lornell, C",80,CLOSED,ANTH
135,PHIL B120,Intro to Ethnomusicology,3.00,91879,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Lornell, C",80,CLOSED,"MUS
"
136,PHIL B120,Intro to Ethnomusicology,3.00,92821,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Lornell, C",80,CLOSED,"MUS
"
137,SEE DEPT,Forensic Anthropology Lab,2.00,90709,M05:10PM - 07:00PM,01/13/14 - 04/28/14,"Ubelaker, D",10,OPEN,ANTH
138,SEE DEPT,Forensic Anthropology Lab,2.00,91998,T05:10PM - 07:00PM,01/13/14 - 04/28/14,"Ubelaker, D",11,CLOSED,ANTH
139,FNGR 220,Human Variation,1.00,90042,R05:00PM - 05:50PM,01/13/14 - 04/28/14,"Ubelaker, D",10,OPEN,ANTH
140,DUQUES 362,Evolution of Language,3.00,96909,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"Bianchi, S",81,CLOSED,ANTH
141,DUQUES 362,Evolution of Language,3.00,97453,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"Bianchi, S",81,CLOSED,LING
142,DUQUES 151,Anthropology of Development,3.00,91937,MW09:35AM - 10:50AM,01/13/14 - 04/28/14,"Fisher, J",10,CLOSED,ANTH
143,FNGR 223,"Illness, Healing, and Culture",3.00,91737,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Carruth, L",10,CLOSED,ANTH
144,FNGR 220,Anthropology of Human Rights,3.00,92655,MW03:45PM - 05:00PM,01/13/14 - 04/28/14,"Shepherd, R",10,OPEN,ANTH
145,,Ethnographic Film,3.00,97074,,01/13/14 - 04/28/14,,10,CANCELLED,ANTH
146,2020 K 7,Methods in Sociocultural Anth,3.00,93592,W06:10PM - 08:00PM,01/13/14 - 04/28/14,"Wagner, S",80,CLOSED,ANTH
147,2020 K 7,Methods in Sociocultural Anth.,3.00,94938,W06:10PM - 08:00PM,01/13/14 - 04/28/14,"Wagner, S",80,CLOSED,ANTH
148,1957 E 316,Psycholinguistics,3.00,96850,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Kuipers, J",80,CLOSED,ANTH
149,1957 E 316,Psycholinguistics,3.00,96849,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Kuipers, J",80,OPEN,LING
150,BELL 105,Language & Social Identities,3.00,94403,M03:30PM - 06:00PM,01/13/14 - 04/28/14,"Merritt, M",80,OPEN,ANTH
151,BELL 105,Language & Social Identities,3.00,95386,M03:30PM - 06:00PM,01/13/14 - 04/28/14,"Merritt, M",80,OPEN,LING
152,FNGR 223,Autism,3.00,95665,MW03:45PM - 05:00PM,01/13/14 - 04/28/14,"Wallace, G",81,OPEN,ANTH
153,FNGR 223,Autism,3.00,94111,MW03:45PM - 05:00PM,01/13/14 - 04/28/14,"Wallace, G",80,OPEN,SPHR
154,DUQUES 259,Native Peoples - North America,3.00,97455,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Donaldson, J",10,OPEN,ANTH
155,PHIL B152,Analytical Mechanics I,3.00,92419,TR02:20PM - 03:10PM,01/13/14 - 04/28/14,"Haque, M",10,OPEN,APSC
156,PHIL 416,Recitation,0.00,93651,W05:10PM - 07:00PM,01/13/14 - 04/28/14,"Haque, M",30,OPEN,APSC
157,PHIL B156,Analytical Mechanics II,3.00,90046,WF09:35AM - 10:25AM,01/13/14 - 04/28/14,"Leftwich, M",10,OPEN,APSC
158,PHIL B156,Recitation,0.00,93684,F11:10AM - 01:00PM,01/13/14 - 04/28/14,,30,OPEN,APSC
159,BELL 108,Engineering Analysis I,3.00,90047,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"Haque, M",10,OPEN,APSC
160,TOMP 410,Engineering Analysis II,3.00,90048,WF11:10AM - 12:25PM,01/13/14 - 04/28/14,"Della Torre, E",10,OPEN,APSC
161,1957 E 214,Engineering Analysis III,3.00,90049,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"De Luque Curiel, I",10,OPEN,APSC
162,1776 G 148,Engineering Analysis III,3.00,90050,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Schrader, P",11,CLOSED,APSC
163,1776 G 143,Engineering Analysis III,3.00,94663,M03:30PM - 06:00PM,01/13/14 - 04/28/14,"Blackford, J",80,CLOSED,APSC
164,1776 G 143,Uncertainty Analysis for Engin,3.00,95124,M03:30PM - 06:00PM,01/13/14 - 04/28/14,"Blackford, J",80,CLOSED,EMSE
165,1776 G 105,Analytical Methods in Eng II,3.00,90567,M06:10PM - 08:40PM,01/13/14 - 04/28/14,"Bulusu, K",10,OPEN,APSC
166,,Beginning Arabic II,4.00,91082,,01/13/14 - 04/28/14,,10,CANCELLED,ARAB
167,OM 312AND1776 G 102,Beginning Arabic II,4.00,96755,MW02:20PM - 03:10PMANDTR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Bonnah, A",11,CLOSED,ARAB
168,MON B36AND1776 G 102,Beginning Arabic II,4.00,95152,MW09:35AM - 10:25AMANDTR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Tobkin, J",12,OPEN,ARAB
169,1776 G 169AND1776 G 148,Beginning Arabic II,4.00,91991,MW11:10AM - 12:00PMANDTR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Bonnah, A",13,CLOSED,ARAB
170,1776 G 105AND1776 G 102,Beginning Arabic II,4.00,95153,MW11:10AM - 12:00PMANDTR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Tobkin, J",14,OPEN,ARAB
171,1776 G 169AND1776 G 169,Beginning Arabic II,4.00,92148,MW02:20PM - 03:10PMANDTR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Jorgensen, C",15,OPEN,ARAB
172,GELM 609ANDSWW 130,Beginning Arabic II,4.00,92256,MW05:00PM - 05:50PMANDTR04:45PM - 06:00PM,01/13/14 - 04/28/14,"El-Hefnawy, D",16,OPEN,ARAB
173,MPA 302ANDMPA 302,Beginning Arabic II,4.00,92364,MW09:35AM - 10:25AMANDTR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Loomis, S",17,OPEN,ARAB
174,,Beginning Arabic II,4.00,93898,,01/13/14 - 04/28/14,,18,CANCELLED,ARAB
175,MON 450ANDMON B36,Beginning Arabic II,4.00,95154,MW12:45PM - 01:35PMANDTR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Jorgensen, C",19,OPEN,ARAB
176,GELM B01AANDGELM B01AANDMPA 302,Intensive Elementary Arabic II,6.00,93178,MW02:20PM - 03:35PMANDTR02:20PM - 03:35PMANDF02:20PM - 03:10PM,01/13/14 - 04/28/14,"Loomis, S",10,OPEN,ARAB
177,MPA 302AND1776 G 170,Intermediate Arabic II,4.00,91083,MW11:10AM - 12:00PMANDTR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Kassab, M",10,OPEN,ARAB
178,MON 252ANDMON 252,Intermediate Arabic II,4.00,91711,MW09:35AM - 10:25AMANDTR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Kassab, M",11,CLOSED,ARAB
179,1776 G 170AND1776 G 105,Intermediate Arabic II,4.00,91992,MW02:20PM - 03:10PMANDTR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Kassab, M",12,OPEN,ARAB
180,MON 451AND1776 G 100ANDMON 451,Intermediate Arabic II,4.00,95155,M02:20PM - 03:10PMANDTR02:20PM - 03:35PMANDW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Oraby, E",13,CLOSED,ARAB
181,1776 G 102ANDMON 252,Intermediate Arabic II,4.00,92658,MW11:10AM - 12:00PMANDTR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Oraby, E",14,CLOSED,ARAB
182,1776 G 107AND1776 G 107,Intermediate Arabic II,4.00,97827,MW03:55PM - 04:45PMANDTR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Wahba, K",15,OPEN,ARAB
